text_clean,label_bin,rating
imposible descansar fin semana pareja hicimos reserva hotel fin descansar desconectar sólo noche menos mal llevaron ala bastante apartada hotel dijeron mejor descansar parte jaleosa pareció bien justo buscábamos cuál sorpresa mañana ruidos primero suponemos tacones habitación arriba culpa hotel obviamente después limpiadoras moviendo muebles arrastrando sofás cogido sólo alojamiento descansar pensando tener madrugar habitualmente imposible ruidos constantes destacar,0,2
calefacción operativa frío calefacción averiada operativa comenta recepción hacen caso reitero tampoco caso pasé frío admisible ningún hotel menos hotel supuesta categoría,0,2
deja bastante desear hotel bajado notoriamente categoria habitaciones bastante hostiles room service pesimo ponen amenities baño toallas viejas ducha presion deberian preocuparse mas dar mejor servicio,0,2
desastre ascensores pequeños bloquean insuficientes tamaño hotel mayoría clientes usar escaleras planta encima llegadano funcionaba cerradura habitación baje dos veces recepción desastre,0,2
mal mal mal mal mal mal enorme diferencia trato familia trabajo empecemos recepción reserva figuraba descargo app figura vez pantalla muestro dicen ahora cama supletoria lista supuesto ruido habitación toda maquinario extractor propio baño moqueta pasillos vieja sucia olor tabaco piscina aquí viene surrealismo cerrada público bien clima llena sirven cóctel empresa cliente puedo subir bebida cristal día medio never again seguro nunca traigo grupo aquí trabajo,0,2
suciedad intolerable jamás encontrado nivel suciedad hotel hostales estrella llegamos solicitar cambio habitación ver misma echad vistazo fotos proceso cambio enseñé recepción miraron cara disculpa detalle estancia medidas prevención covid inexistentes siquiera informan clientes extranjeros españa obligatorio uso mascarilla interiores obviamente cumplen tampoco recepción ascensores escribiendo ascensores colapsados demasiados clientes tan pocos bajar numerosas veces escaleras quinto piso menos mal,0,1
lamentable lamentable elegir hotel cuatro estrellas adjudiquen habitación sucia ocupada cliente limpio tercera sucia queria tranquilidad tener problemas alojamiento contrario experiencia muchas disculpas pidan queda ahi resarce ninguna manera tampoco hotel mucha intención resarcir experiencia,0,1
sigo aquí quiero cambiarme hotel hotel fantástico desayunos buenos recepcionista lunes bde octubre mañana grosera trata mal huéspedes pasa pudiera cambiaria hoy mismo hotel mañana tema llave regaña hace sentir mal culpa llave funcionará actitud superioridad entiendo cero actitud servicio,0,2
sevilla center disgusto centro sevilla sevilla center disgusto pleno centro sevilla horrible experiencia supone iba ser mejor día vacaciones convirtió peor recomiendo pareja venimos madrid ver familiares último día quisimos pasar día solos bonito hotel piscina sevilla hace calor queríamos poder aprovechar tarde baño refrescante cerca centro pasear despuésy sobretodo prometía cumplir normas seguridad referentes covid importante vimos página web hotel pareció hotel perfecto tenia queríamos gran error llegamos piscina vemos atestada gente pasea recinto mascarilla ojo,0,1
errores aciertos experiencia agridulce decir pésima llegamos hotel dos reservas sábado noche the level hab normal domingo junior suite cuándo llegamos check comunicaron hacer ningún tipo check out check habitación junior suite disponible pronto vez terminamos check subimos habitación bajar nuevamente habitación hacer dieron habitación misma planta mismas características minutos tarde room service trajo detalle consistía dos botellitas agua unas chuches imagino harían detalle huéspedes años cae cara verguenza,0,2
ruido insoportable discoteca debajo habitación terraza discoteca música gritos fin dormido compañeros dormido planta dando discoteca ocurrido mismo reclamar recepción ningun comentario extrañados ello,0,1
fabuloso vas asi bonito fotos experiencias entras personal primera ninguna manera cargar coche segunda suite tercera planta debajo discoteca pues parecer hotel,0,2
caro llegar mientras esperábamos hacer checking señora quejándose olía cañería habitación pues bien toda razón dieron habitación olor asqueroso pipi insoportable cambiaron entrando llegó limpiadora entró dicho ocurre baño echó ambientados saben habitaciones problema parece vergüenza den clientes toallas baño vieja boquetes vergüenza hotel general viejo pasillos huelen bien recomiendo hotel,0,1
recomendado oposición escogimos hotel cercanía prueba desayuno incluido llegar dijeron cafetería abría dijimos reembolsaran desayuno hicieron montaron desayuno recepción nefasto máquina café estropeada incluida definitiva examen desayunar,0,2
mal servicio conozco hotel varios años principio jamás cobrado parquin ocasión pregunté siempre recepción parquin amablemente dijo recepcionista problema siempre sorpresa entregar llave validar tiquet dice señor recepción bastante serio iba cobrar hice saber dijo compañero casi mirarme obviandome completamente larga nota cargo parquin euros cantidad ridícula actuación nefasta recepcionista lleva volver hotel viajes sevilla,0,2
mala experiencia personal ayre seville simpáticos publicidad inexacta hotel desaconsejable pedí propia reserva booking ventanas pudiera abrir contestaron cuanto allí recepcionista forma educada dijo ventanas pueden abrir gente tiraria tal argumento anule habitación mintieron diciéndome cobrarían hicieron pesar reclamación hice través booking constancia devolución servicio reserve mismo día tenia gastos cancelación cobraron experiencia hall conozco instalaciones vamos puedan abrir ventanas gente tiraría fin igual mal,0,1
olor cigarrillo calor hotel enciende calefacción suficiente frío posible graduarla central cambiar habitación media noche calor tener nueva habitación sabanas olían cigarrillo pesar prohibido fumar habitaciones sábanas limpias fin mala higiene servicio,0,1
recepcionista desagradable acudí marido llegar habitación vimos dos camas educadamente bajamos recepción preguntar alguna cama matrimonio rápidamente respondió manera seca juntemos camitas mismo misma respuesta daría pareja heterosexual gracias recepcionista volveremos pisar ningún hotel cadena cansado,0,2
decepcionante elegi hotel cosas ubicacion estetica coqueto pintoresco recepcionistas amables profesionales cuanto prestaciones hotel estrellas servicio pension solo funciona desayuno servicio absolutamente precario siquera nevera disponible habitacion servida jacuzzi sauna terraza estupenda dejada habitaciones acogedoras limpias lastima falta servicios impiden disfrute instalaciones,0,2
hotel necesita muchas mejoras calidad precio incompatibles bastante decepcionada suelo hoteles mejores camas almohadas incomodas mobiliario usado servicio limpieza pésimo dos días llevaron toallas sucias tampoco pusieron limpias pedir toallas recepción dieron piscina pedí almohada repuesto respecto televisión ven casi ningún canal tampoco supieron arreglarlo chico subió habitación tenia idea entramos habitación limpia polvo peine usado suelo seria clientes anteriores baño antiguo relación calidad precio corresponde pagado,0,2
barcelo calidad cadena barcelo personal recepción rafael resolutivo página web hotel indican junior suite pueden poner dos camas adicionales solicita hora hacer reserva llegar hotel indican servicio hotel hacen pertenezco servicio barcelo disfrutado ningún servicio servicio bienvenida detalle bienvenida minibar simple botella agua habitación llegada parece increíble cadena barcelo hotel cadena lástima barcelo renacimiento habitaciones seguro hubieramos problemas,0,1
noche habitacion amplia sucia mui viejo precio euros noche bañera mugre alrededor camas incomodas ser dos pekeñas abrimos camas pelos publico toallas olor aire calentaba apena ventana mui alta abri camas mui bien echas sirve ahí pelos veo precio exagerado parece tipo albergue,0,1
higiene medidas habitacion sabanas manchadas pelos logica entreguen habitacion pegatinas informando protocolo covid llevado cabo siendo totalmente falso nevera juguete,0,1
almohadas pésimas peores encontrado hotel trato recepción cordial correcto ubicación hotel buenas buenas instalaciones almohada finas mal rellenadas recepción solución dan darme igual secador roto menaje baño tipo peine cuchillas afeitado bolsas ducha pelo,0,1
decepción podría esperar cadena hilton estándar calidad diferente diferencie hoteles bien resto lamentablemente así habitación llena detalles hacen ver descuido ver fotos además cama realmente incómoda hotel puede tener cama tan mala cierto ser alérgico polvo notaba noche reacción alérgica comprendí casualmente detrás espejo cuarto baño polvo acumulado tiempo inmemorial quizás polvo cortinas aunque puedo saber tema limpieza cenas verás desayuno mañana siguiente restos suciedad noche anterior suelo carta,0,2
horroroso ventana balcón cerraba bien cerrojo chapucero dejaba toda parte arriba abierta ruido colaba rendija despertaba noches cristales ventana tenia pequeñas puertas madera impedir entrar luz faltaban aire acondicionado incrustado ventana podías correr cortinas luz amanecer molestase balda colocado televisor tenia polvo igual televisor secador baño funcionaba fin desastre recomiendo vuelvo,0,1
encontramos contratamos contratado través web habitación cuádruple camas matrimonio llegar dicen imposible existe habitación enseñamos fotos web contestan marketing desastrosa resolución problemas horas tardaron solucionar volvemos nunca publicidad web engañosa,0,1
cadena menuda depecion además ser antiguo suelo moquetas necesita mantenimiento puerta rota cortinas sucias ruido insonorizacion hablar cuarto baño cabes cuanto limpiarte parking intentando veces buscar plaza correcta parking súper pequeño estrecho voy arañon coche parte ajena sobran estrellas,0,2
hotel hotel viejo necesita reforma paredes insonorizadas escucha camas viejas mejor muevas suena montón foto adjunto vistas enchufe cerca cama toma teléfono cuarto baño piscina horario turnos min dijeron llegar haces pie piscina agua limpia verde desayuno bastante simple elegir trabajadores hotel amables atentos hotel buena zona cerca centro sevilla unas vistas bonitas azotea,0,2
cosas gustan gustaron pasado noche hotel gusta escucha sucede habitaciones cercanas roca habla baño etcc escucha igual dentro habitación tampoco gusta funcionamiento cisternas baño escuche personas quejándose echar agua water papelera mininevera habitación funcionando mala pinta desayuno fenomenal buen servicio ventanas tipo balcón calle encantaron horroriza escucha habitación lado,0,2
cae pedazos horroroso voy ser rapidito personal amable limpieza buena hotel cae literalmente pedazos necesita reforma haberse hecho hace años centrico precisamente casco historico coger autobus taxi quieres llegar ver giraldas demas aparcamiento horroroso hotel listo sino creen vayan,0,1
nefasta decepción aspectos sevilla mes agosto domingo elegimos macarena excelente ubicación piscina habernos quedado anteriormente llegar subimos piscina nadie controlaba aforo tumbonas juntas agua turbia asco temimos seguridad enseguida bajamos habitación moqueta manchas olor darnos ducha silicona humedad manchas negras toda bañera juntas azulejos negras intentamos descansar insonorización habitaciones planta suites normales disponen puedo decir nombre hijos vecinos araña buen tamaño campaba techo pudimos matar desayuno buffet bien,0,1
